TenPct_AGthighX	TenPct_AGthighY	TenPct_AGthighZ	TwentyFivePct_AGthighX	TwentyFivePct_AGthighY	TwentyFivePct_AGthighZ	FiftyPct_AGthighX	FiftyPct_AGthighY	FiftyPct_AGthighZ	SeventyFivePct_AGthighX	SeventyFivePct_AGthighY	SeventyFivePct_AGthighZ	NinetyPct_AGthighX	NinetyPct_AGthighY	NinetyPct_AGthighZ
0.051	0.922	-0.027000000000000003	0.102	0.926	0.02	0.316	0.934	0.08199999999999999	0.34	0.992	0.105	0.348	1.008	0.113
0.34	0.922	0.07400000000000001	0.348	0.926	0.07400000000000001	0.348	0.93	0.07400000000000001	0.348	0.93	0.086	0.35200000000000004	0.93	0.105
0.348	0.902	0.051	0.348	0.914	0.059	0.363	0.922	0.07400000000000001	0.3670000000000001	0.93	0.078	0.375	0.93	0.105
0.359	0.914	0.055	0.363	0.914	0.059	0.3670000000000001	0.914	0.07400000000000001	0.3670000000000001	0.922	0.07400000000000001	0.3670000000000001	0.926	0.07400000000000001
0.121	0.906	-0.039	0.328	0.914	0.027000000000000003	0.3670000000000001	0.922	0.059	0.371	0.938	0.07400000000000001	0.383	0.992	0.094
-0.008	0.9296	-0.156	0.031	0.965	-0.117	0.121	0.992	-0.043	0.191	1.008	0.027000000000000003	0.254	1.027	0.18
0.289	0.902	0.031	0.32	0.914	0.051	0.35200000000000004	0.926	0.094	0.363	0.938	0.121	0.371	0.953	0.133
0.344	0.926	0.047	0.35200000000000004	0.93	0.047	0.35200000000000004	0.93	0.047	0.35200000000000004	0.93	0.047	0.35200000000000004	0.93	0.063
0.355	0.922	-0.039	0.355	0.922	-0.027000000000000003	0.363	0.926	-0.023	0.3670000000000001	0.93	-0.012	0.3670000000000001	0.934	-0.008
0.355	0.91	-0.043	0.363	0.918	-0.031	0.3670000000000001	0.926	-0.023	0.379	0.93	0.0	0.391	0.934	0.039
0.387	0.914	0.043	0.387	0.914	0.043	0.387	0.914	0.043	0.387	0.914	0.043	0.387	0.914	0.043
0.371	0.906	-0.004	0.387	0.914	0.043	0.387	0.914	0.043	0.387	0.914	0.043	0.395	0.922	0.043
0.336	0.895	0.023	0.355	0.91	0.035	0.363	0.922	0.047	0.375	0.93	0.063	0.398	0.941	0.09
0.059	0.953	-0.16439999999999996	0.125	0.973	-0.113	0.141	0.992	-0.08199999999999999	0.172	1.008	-0.063	0.195	1.027	-0.016
0.125	0.852	-0.09	0.152	0.883	-0.016	0.34	0.918	0.17600000000000002	0.383	0.984	0.211	0.402	1.0	0.238
0.266	0.852	0.07400000000000001	0.305	0.883	0.105	0.34	0.918	0.14800000000000002	0.371	0.949	0.184	0.398	0.977	0.219
0.305	0.855	0.086	0.324	0.879	0.129	0.355	0.898	0.199	0.379	0.922	0.227	0.402	0.945	0.25
0.328	0.8440000000000001	0.066	0.355	0.875	0.09699999999999999	0.375	0.906	0.117	0.406	0.934	0.133	0.457	0.957	0.156
0.348	0.8320000000000001	0.121	0.375	0.863	0.129	0.398	0.887	0.145	0.43	0.906	0.203	0.453	0.922	0.273
0.336	0.852	0.117	0.3670000000000001	0.871	0.133	0.391	0.895	0.156	0.41	0.922	0.17600000000000002	0.426	0.941	0.191
0.316	0.8320000000000001	0.113	0.375	0.8590000000000001	0.129	0.402	0.887	0.152	0.426	0.918	0.172	0.449	0.945	0.195
0.297	0.82	0.109	0.336	0.8590000000000001	0.129	0.379	0.895	0.14800000000000002	0.426	0.934	0.172	0.4494000000000006	0.973	0.199
0.32	0.848	0.145	0.35200000000000004	0.867	0.16	0.383	0.895	0.18	0.402	0.922	0.195	0.414	0.945	0.211
