Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
OA54,-0.1232381728983782,-0.15226542808952695,"[0.35686, 0.25426]","[(0.353, 0.36072), (0.23642, 0.2721)]","[0.25426, 0.35686]","[(0.23642, 0.2721), (0.353, 0.36072)]"
OA77,-0.0826981318191392,-0.15205626149844728,"[0.47479, 0.26287, 0.13333]","[(0.47012, 0.47946), (0.25021, 0.27554), (-0.0387, 0.30536)]","[0.26568, 0.4752, 0.99948]","[(0.25299, 0.27837), (0.47053, 0.47987), (0.99928, 0.99969)]"
OA59,0.05614530038703988,0.06205570780368745,"[0.77597, 0.37213, 0.0]","[(0.77294, 0.77901), (0.35224, 0.39203), (0.0, 0.0)]","[0.36836, 0.77555, 1.0]","[(0.3496, 0.38711), (0.77252, 0.77858), (1.0, 1.0)]"
OA61,-0.1071386296457287,-0.2523132427671138,"[0.42747, 0.21896, 0.0005]","[(0.42275, 0.43219), (0.21046, 0.22746), (-0.00048, 0.00147)]","[0.25315, 0.43516, 0.9999]","[(0.24507, 0.26123), (0.43054, 0.43978), (0.99982, 0.99999)]"
OA9,0.11271823828869663,0.07328660058532832,"[0.91042, 0.15717, 0.0]","[(0.90806, 0.91278), (0.14792, 0.16642), (0.0, 0.0)]","[0.16073, 0.90948, 1.0]","[(0.15173, 0.16973), (0.90711, 0.91184), (1.0, 1.0)]"
HOA14,0.12908617898871932,-0.029238482820535146,"[0.62076, 0.25346, 0.0]","[(0.61702, 0.62449), (0.24172, 0.26521), (0.0, 0.0)]","[0.32634, 0.61663, 0.99999]","[(0.31558, 0.3371), (0.61295, 0.62031), (0.99996, 1.00001)]"
HOA19,0.019277519053057343,-0.0911753862645062,"[0.51719, 0.29349, 0.00877]","[(0.51313, 0.52125), (0.28238, 0.3046), (0.00336, 0.01418)]","[0.33465, 0.51708, 0.99876]","[(0.32403, 0.34527), (0.51305, 0.5211), (0.99849, 0.99903)]"
OA84,0.03670053746998894,-0.01886539236463655,"[0.75297, 0.17347, 0.0]","[(0.7451, 0.76084), (0.13019, 0.21675), (0.0, 0.0)]","[0.19764, 0.75255, 1.0]","[(0.15525, 0.24003), (0.74469, 0.7604), (1.0, 1.0)]"
HOA26,-0.09216433034467948,-0.029641850522865353,"[0.92812, 0.03217, 0.0]","[(0.92614, 0.93011), (0.02548, 0.03886), (0.0, 0.0)]","[0.03307, 0.9281, 1.0]","[(0.02632, 0.03983), (0.92611, 0.93008), (1.0, 1.0)]"
OA56,-0.04251301169639854,-0.06906698001860312,"[0.72063, 0.1353, 0.0]","[(0.71399, 0.72727), (0.11687, 0.15373), (0.0, 0.0)]","[0.16068, 0.71943, 0.99995]","[(0.14157, 0.17978), (0.7128, 0.72606), (0.99984, 1.00005)]"
HOA15,-0.17467048721327216,-0.14256706481442732,"[0.40545, 0.30013, 0.0]","[(0.40182, 0.40908), (0.28698, 0.31328), (0.0, 0.0)]","[0.30496, 0.4055, 1.0]","[(0.29188, 0.31804), (0.40188, 0.40913), (1.0, 1.0)]"
HOA39,-0.054418087969835716,-0.06959995887120278,"[0.35417, 0.38845, nan]","[(0.35051, 0.35783), (0.3602, 0.41671), (nan, nan)]","[0.38845, 0.35421, 0.99996]","[(0.3602, 0.41671), (0.35056, 0.35787), (0.9999, 1.00001)]"
HOA40,-0.11614848993861471,-0.13453920335252476,"[0.3204, 0.24071, 0.0]","[(0.31707, 0.32373), (0.21967, 0.26174), (0.0, 0.0)]","[0.23756, 0.32059, 1.0]","[(0.21676, 0.25836), (0.31726, 0.32392), (1.0, 1.0)]"
KOA17,0.11428184616861448,0.009063554564150781,"[0.70675, 0.2622, 0.0]","[(0.70297, 0.71054), (0.25082, 0.27359), (0.0, 0.0)]","[0.30265, 0.70252, 1.0]","[(0.29141, 0.31389), (0.69875, 0.7063), (1.0, 1.0)]"
OA1,0.1762322640869907,-0.013834064355205868,"[0.5469, 0.25453, 0.22354]","[(0.54291, 0.5509), (0.24664, 0.26242), (0.21259, 0.23449)]","[0.37405, 0.57711, 0.97639]","[(0.36683, 0.38127), (0.57332, 0.5809), (0.97528, 0.9775)]"
OA36,0.10553129682994117,-0.002932834720904702,"[0.61507, 0.37735, 0.0]","[(0.60912, 0.62102), (0.35433, 0.40036), (0.0, 0.0)]","[0.37897, 0.615, 0.99996]","[(0.35612, 0.40183), (0.60906, 0.62095), (0.99989, 1.00004)]"
KOA54,-0.17363268382713304,-0.11795806145961596,"[0.67747, 0.12157, 0.0]","[(0.67399, 0.68095), (0.11332, 0.12983), (0.0, 0.0)]","[0.12608, 0.678, 1.0]","[(0.11792, 0.13425), (0.67452, 0.68147), (1.0, 1.0)]"
OA58,-0.18223157825403224,-0.24439872648229938,"[0.34252, 0.36867, 0.0]","[(0.33307, 0.35197), (0.35277, 0.38457), (0.0, 0.0)]","[0.3832, 0.34488, 1.0]","[(0.36776, 0.39864), (0.33554, 0.35421), (1.0, 1.0)]"
KOA27,-0.08788640015168023,-0.1658431732646098,"[0.18974, 0.56698, 0.02184]","[(0.1869, 0.19257), (0.55517, 0.57878), (0.01623, 0.02745)]","[0.58011, 0.20213, 0.99533]","[(0.57012, 0.5901), (0.19928, 0.20499), (0.99486, 0.9958)]"
OA39,-0.09083548500704308,-0.22529495563849597,"[0.3219, 0.35077, 0.00528]","[(0.31713, 0.32667), (0.3393, 0.36223), (0.00138, 0.00918)]","[0.38484, 0.32716, 0.99927]","[(0.37416, 0.39551), (0.32246, 0.33186), (0.99901, 0.99952)]"
KOA47,0.23355263620491856,0.16147571981784178,"[0.97432, 0.08158, 0.0]","[(0.97299, 0.97566), (0.07582, 0.08733), (0.0, 0.0)]","[0.10744, 0.96852, 0.99995]","[(0.10134, 0.11354), (0.96706, 0.96997), (0.9999, 1.00001)]"
HOA32,-0.018045796108244427,-0.12280430594854612,"[0.25286, 0.53212, 0.06387]","[(0.24937, 0.25634), (0.51887, 0.54537), (0.05402, 0.07373)]","[0.55351, 0.26726, 0.99383]","[(0.54248, 0.56453), (0.26378, 0.27074), (0.99323, 0.99443)]"
KOA18,-0.05411653063406317,-0.05088042449664876,"[0.82918, 0.06737, 0.0]","[(0.82627, 0.83209), (0.05765, 0.0771), (0.0, 0.0)]","[0.0725, 0.82907, 0.99999]","[(0.06254, 0.08245), (0.82617, 0.83198), (0.99996, 1.00001)]"
